,tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux,star_tessid,twomass,gaiaid,sector,magnitude,luminosity,metallicity,distance,star_mass,star_radius,constellation,rightascension,declination
79,00149346418-01,149346418,1,1,5780.0,4.438,26.9236,-1.0,1.58785,-1.0,0.014544799999999997,19.7857,0.17589100000000002,1.0,247.161,-1.0,10.5,1327.4,-1.0,0.152156,0.1,13.8617,-1.88611,3,12.4354,112.228,106.56,608.132,32.323,149346418,05333753-6229232,4.757601523650165e+18,s0005,3.26,,,322.113,,,Dorado,83.40630222,-62.48981197
80,00149347480-01,149347480,1,1,6188.14,4.438,18.9409,0.00265159,3.0769,2.93455,0.022977,74.6178,0.159429,1.22664,595.9159999999998,87.1314,1.86441,1343.71,0.00192198,0.0475633,0.349562,5.34134,6.02916,2,3.56986,9.50385,9.1003,757.403,77.7729,149347480,05342614-6006151,4.759444786175885e+18,s0001,7.9022,DWARF,,69.4713,1.18,1.15535,Pictor,83.60893317,-60.10418408
81,00149347629-01,149347629,1,1,3098.0,4.438,27.0664,0.0032699,11.1347,1.50876,0.101995,97.4489,0.176513,1.0,12379.7,1637.72,2.3334200000000003,1329.69,0.00258339,0.216987,0.0713164,3.67584,4.4694400000000005,2,15.4754,18.55,20.028,325.376,2.64888,149347629,05343558-6010581,4.759420699999297e+18,s0001,12.785,DWARF,,72.9029,0.46488100000000004,0.46735,Pictor,83.6483021,-60.18284613
82,00149391142-01,149391142,1,1,5448.2,4.66,18.7118,0.00750364,2.20208,1.14915,0.0205147,16.0652,0.16181099999999998,0.983253,484.668,62.3184,9.04371,1343.11,0.0104358,0.183802,0.0992255,2.3938200000000003,4.29444,3,4.16714,7.311939999999999,4.81082,592.615,29.1483,149391142,05355179-6100526,4.759289548878322e+18,s0001,10.4868,DWARF,-1.26,135.644,0.95,0.892861,Dorado,83.96579621,-61.01461416
83,00149444341-01,149444341,1,1,3313.0,4.438,13.7374,0.0146541,6.4695800000000006,31.4042,0.0592616,4.13235,0.112312,1.0,1314.51,248.779,9.58155,1326.66,0.025905,4.790780000000002,0.994135,2.0458,4.18055,5,0.2557,7.282489999999999,5.2270900000000005,436.215,8.55702,149444341,05390597-6328478,4.757113714166387e+18,s0001,12.1046,DWARF,,40.4227,0.34081,0.355716,Dorado,84.77495794,-63.47996083
84,00149473467-01,149473467,1,3,6331.0,3.96862,1.09492,1.26862e-05,31.1149,4.33195,0.148361,3.39585,0.022420500000000003,1.92108,18345.5,539.359,1.88188,1325.96,0.000359776,0.940939,0.885335,404.547,-0.18611,51,16.3247,49.1333,11.1384,2585.91,10567.6,149473467,05410491-6151282,4.759179627779754e+18,s0001,9.2973,DWARF,,231.615,1.5,1.7611400000000001,Dorado,85.27051843,-61.85784104
87,00149603524-01,149603524,1,1,6280.0,4.32092,4.41193,2.03764e-05,15.4184,0.0431487,0.110339,9.92729,0.0567572,1.28,14018.5,39.4274,3.7776,1326.08,0.000156015,0.376548,0.00664831,6.31367,-0.59306,13,94.4613,367.076,121.11,1315.97,708.77,149603524,05483359-6359183,4.756649415309914e+18,s0001,9.7109,DWARF,0.24,175.63099999999997,1.28,1.2142700000000002,Dorado,87.13997409,-63.98844079
88,00149630117-01,149630117,1,1,7487.0,4.19464,0.208113,1.17853e-05,4.2396,1.25822,0.022346,2.97192,0.0,1.7378900000000002,536.004,81.7543,0.487733,1325.33,0.000264585,0.0147967,0.5135890000000001,3.44896,0.11354000000000003,271,241.3,7.69354,3.71882,0.0,0.0,149630117,05494667-6048200,4.758909873769216e+18,s0001,9.0539,DWARF,,226.327,1.71,1.70613,Pictor,87.44453566,-60.80553864
89,00149630160-01,149630160,1,2,5780.0,4.438,21.6883,0.00155741,1.72475,2.19107,0.015798799999999998,67.1582,0.152279,1.0,291.151,45.3025,2.48393,1327.68,0.00213356,0.0393423,0.13506300000000002,7.04133,-0.99306,3,27.1891,13.5379,14.1209,653.582,43.1243,149630160,05493646-6040347,4.758937224121119e+18,s0001,5.9622,GIANT,,388.815,,39.4875,Pictor,87.40191186,-60.67629345
91,00149988523-01,149988523,1,6,3183.0,4.438,17.3153,0.00317361,1.85838,1.09567,0.0170229,45.5234,0.131052,1.0,283.715,49.6773,1.84633,1332.05,0.00258528,0.08147410000000001,0.794192,16.6013,-0.40972,3,115.344,36.1257,38.6489,387.978,5.35489,149988523,06020934-6005485,5.494400036544339e+18,s0005,4.001,GIANT,,239.68900000000002,,92.6504,Pictor,90.53889727,-60.09683044
97,00149989242-01,149989242,1,2,7359.0,4.471430000000002,0.321504,1.42946e-05,2.21293,0.760241,0.016280600000000003,2.32991,0.0109115,1.24507,286.369,44.0006,0.980356,1325.54,0.000530665,0.0219546,0.500804,16.0806,0.12843,175,118.177,8.408389999999999,2.71807,3468.69,34212.2,149989242,06022933-6142475,5.482015721684989e+18,s0001,9.0296,DWARF,,240.81,1.65,1.8932799999999999,Pictor,90.62230221,-61.71326099
99,00150064391-01,150064391,1,1,6118.19,4.438,29.3225,0.00259711,2.74484,1.22833,0.0226247,63.8891,0.199761,1.1113,590.918,70.1832,3.5782800000000003,1349.41,0.00194275,0.07950789999999999,0.0656288,5.2584,-0.91528,2,4.00801,9.7697,9.70015,636.759,38.8528,150064391,06054200-6144548,5.481272932860895e+18,s0001,7.2953,DWARF,,47.8519,1.15,1.05847,Pictor,91.42507147,-61.74858131
